gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,verbatimscientificname,verbatimscientificnameauthorship,countrycode,locality,stateprovince,occurrencestatus,individualcount,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,dateidentified,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
2418054275,ae33dc82-0bc2-43b5-b69b-65bf858f1e7a,31201dfa-353a-4239-925a-f71391758f6b,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,"Colorado Desert; Northeastern Colorado Desert region: Just north of Palen Pass Road, ca. 10 miles east of Hwy 177. USGS Quadrangle: Palen Pass 1:24,000",California,PRESENT,NA,c6e100e2-7568-4f96-aea1-ff0ea0430212,33.912778,-115.080556,NA,NA,365,NA,NA,NA,2005-02-10T00:00:00Z,10,2,2005,3041998,3042005,PRESERVED_SPECIMEN,CHSC,VascularPlants,CHSC108492,1366,herbarium,NA,CC_BY_NC_4_0,,Naomi Fraga; Lisa Rojas,NA,,2023-09-08T21:36:39Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
2418037486,ae33dc82-0bc2-43b5-b69b-65bf858f1e7a,630cdb69-cd09-4228-92eb-12052282b225,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,"Inner North Coast Range. Near a small drainage, north of the wash and State Highway 20, just east of Lake County Line, 12.2 mile (air) east-northeast of Clear Lake (town), 17.1 miles (air) west of Williams. T14N R05W S34 SW1/4",California,PRESENT,NA,c6e100e2-7568-4f96-aea1-ff0ea0430212,39.011389,-122.408611,NA,NA,567,NA,NA,NA,2013-05-01T00:00:00Z,1,5,2013,3041998,3042005,PRESERVED_SPECIMEN,CHSC,VascularPlants,CHSC112311,18681,,NA,CC_BY_NC_4_0,,Lowell Ahart,NA,,2023-09-08T21:36:45Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
2418031211,ae33dc82-0bc2-43b5-b69b-65bf858f1e7a,65510c79-be53-43e9-a3bf-bb282759c073,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,"Mojave Desert; Northcentral Mojave Desert region: Alvord Mountains: Southeast side of mountains along a main canyon just west of Spanish Canyon. Collected around an elevated lake sediment (tufa) east side of canyon, as far as a saddle near 35.07403N, 116.60715W. And a little north along the main canyon, past where the canyon opens up with a fault line that runds in a northwest angle, near 35.08417N, 116.60613. Main starting point was near end of old road-trail near 35.07616N, 116.60862W. This collection was near to 35.07616N, 116.60862W. Alt: 716-837m.",California,PRESENT,NA,c6e100e2-7568-4f96-aea1-ff0ea0430212,35.076111,-116.591944,NA,NA,787,NA,NA,NA,2008-03-24T00:00:00Z,24,3,2008,3041998,3042005,PRESERVED_SPECIMEN,CHSC,VascularPlants,CHSC101446,2906,herbarium,NA,CC_BY_NC_4_0,,LeRoy Gross,NA,,2023-09-08T21:36:51Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
2397466596,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/22123404,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.95104,-116.15751,10,NA,NA,NA,NA,NA,2019-03-20T15:28:00Z,20,3,2019,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,22123404,,Colin Barrows,2019-09-04T06:21:51Z,CC_BY_4_0,sea-kangaroo,sea-kangaroo,NA,,2023-09-13T17:23:39Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
2382640051,44525bc9-4412-441a-9890-1df3d289e3f6,86404940-7b0d-40c1-980c-ba8203d0923d,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,Anza Borrego Desert State Park: vicinity of Whale Peak; south of Pinyon Mountain Valley Road and northwest of the highest point of Whale Peak along one of the trails to the peak,California,PRESENT,NA,2aad1479-09dc-492b-9a4c-a959c42f90ea,33.04479,-116.33241,NA,NA,1330,NA,NA,NA,2009-05-12T00:00:00Z,12,5,2009,3041998,3042005,PRESERVED_SPECIMEN,SDSU,,SDSU19401,17574,Lissette Velarde,2015-06-30T00:00:00Z,CC_BY_NC_4_0,,"Rebman, Jon P.; Mike Simpson and Mike Mayer",NA,,2023-09-07T04:56:10Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
2382638633,44525bc9-4412-441a-9890-1df3d289e3f6,e8191d46-7f52-4e00-a5fc-f3626eba6ec4,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,"El Sobrante Landfill preserve area, western Riverside County, east of Interstate 15 off Temescal Canyon Road. Ca. 5 kilometers east off freeway. Access through landfill entrance.",California,PRESENT,NA,2aad1479-09dc-492b-9a4c-a959c42f90ea,33.79608,-117.45128,NA,NA,370,NA,NA,NA,2008-02-27T00:00:00Z,27,2,2008,3041998,3042005,PRESERVED_SPECIMEN,SDSU,,SDSU18362,482,Kyle L. Gunther,2019-06-24T00:00:00Z,CC_BY_NC_4_0,,"Guilliams, C. Matt",NA,,2023-09-07T04:56:10Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
2382637184,44525bc9-4412-441a-9890-1df3d289e3f6,3ba21613-4524-4c11-9558-b4fe69208187,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,Hauser Mountain: west of Campo and just north of highway 94,California,PRESENT,NA,2aad1479-09dc-492b-9a4c-a959c42f90ea,32.61389,-116.55667,NA,NA,963,NA,NA,NA,2001-04-20T00:00:00Z,20,4,2001,3041998,3042005,PRESERVED_SPECIMEN,SDSU,,SDSU16409,7289,Kyle L. Gunther,2019-06-24T00:00:00Z,CC_BY_NC_4_0,,"Rebman, Jon; B. Hollingsworth",NA,,2023-09-07T04:56:10Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
2294410160,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/22439692,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.256312,-118.266066,6,NA,NA,NA,NA,NA,2019-04-13T07:38:26Z,13,4,2019,3041998,3042005,HUMAN_OBSERVATION,iNaturalist,Observations,22439692,,Jim Morefield,2019-04-13T23:48:18Z,CC_BY_4_0,Jim Morefield,Jim Morefield,NA,,2023-09-13T17:25:21Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2270497106,e05fd4c2-4d77-4c50-880e-1b22096af300,abe4ac43-6064-4540-a93f-fbd1eef9a151,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,north west end of Marble Mountains; gravel wash dominated by smoke tree adjacent Kelbaker Road,California,PRESENT,NA,814cdfb5-d4f8-4453-815f-ea5df98e76bf,34.70635,-115.67433,NA,NA,820,NA,NA,NA,2017-04-04T00:00:00Z,4,4,2017,3041998,3042005,PRESERVED_SPECIMEN,ASU,Plants,ASU0106297,5116,,NA,CC_BY_4_0,,"Liz Makings; Andrew Johnston, Bob Anderson",NA,,2023-09-09T00:07:53Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2270466288,e05fd4c2-4d77-4c50-880e-1b22096af300,042c8b68-560e-4ae5-a3c3-68ab5a1f1054,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,"Cima Cinder Cones: Mojave National Preserve; granitic hills about 10 miles SE of Baker, 25 miles NNW of Kelso, 0.9 mi. NE of Kelbaker Rd, just west of volcanic area",California,PRESENT,NA,814cdfb5-d4f8-4453-815f-ea5df98e76bf,35.253333,-115.891467,NA,NA,587,NA,NA,NA,2014-02-20T00:00:00Z,20,2,2014,3041998,3042005,PRESERVED_SPECIMEN,ASU,Plants,ASU0296344,31001,,NA,CC_BY_4_0,,J.M. Andre,NA,,2023-09-09T00:08:04Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2270226563,f56df26e-73f5-4d37-bfed-3d46c0834e82,8957c3e1-b26c-4102-9832-79c7791c1e55,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,"Cholame Valley, Jack Ranch. California Flats Botanical Survey. Flat area near road with dried mud and weedy grassland. Small dry drainage a short distance west of road.",California,PRESENT,NA,d16f32bb-204f-4c07-95eb-6673e90225e9,35.861103,-120.299412,NA,NA,500,NA,NA,NA,2015-03-20T00:00:00Z,20,3,2015,3041998,3042005,PRESERVED_SPECIMEN,OBI,,OBI100598,32874,,NA,CC_BY_NC_4_0,,David Keil; Lynne Dee Althouse,NA,,2023-09-07T11:46:49Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
2270223148,f56df26e-73f5-4d37-bfed-3d46c0834e82,d95b7302-e34e-4280-a63e-60d3a37aa6f1,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,"Wind Wolves Preserve, Main Canyon Parking Lot, East side of road",California,PRESENT,NA,d16f32bb-204f-4c07-95eb-6673e90225e9,34.984313,-119.185287,NA,NA,NA,NA,NA,NA,2017-03-03T00:00:00Z,3,3,2017,3041998,3042005,PRESERVED_SPECIMEN,OBI,,,10,,NA,CC_BY_NC_4_0,,Brooke Wainwright,NA,,2023-09-07T11:46:50Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
2270222337,f56df26e-73f5-4d37-bfed-3d46c0834e82,32f7f6f1-17e1-4fec-a030-4ec6d2502c7c,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,Southeast of Cholame in southern Cholame Valley along San Andreas Fault zone,California,PRESENT,NA,d16f32bb-204f-4c07-95eb-6673e90225e9,35.680209,-120.235092,NA,NA,630,NA,NA,NA,2016-02-26T00:00:00Z,26,2,2016,3041998,3042005,PRESERVED_SPECIMEN,OBI,,OBI100599,33485,,NA,CC_BY_NC_4_0,,David J. Keil; Lynne Dee Althouse and Shannon Henke,NA,,2023-09-07T11:46:50Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
2270221058,f56df26e-73f5-4d37-bfed-3d46c0834e82,878f17c1-4a37-4e65-8671-1b27ab5f6d1b,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,"Chorro Creek Ecological Reserve, east of San Luisito Creek Road between Highway 1 and San Luisito Creek",California,PRESENT,NA,d16f32bb-204f-4c07-95eb-6673e90225e9,35.356222,-120.774095,NA,NA,NA,NA,NA,NA,2016-02-25T00:00:00Z,25,2,2016,3041998,3042005,PRESERVED_SPECIMEN,OBI,,OBI100600,33474,,NA,CC_BY_NC_4_0,,David J. Keil; George Butterworth,NA,,2023-09-07T11:46:50Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
2270216373,f56df26e-73f5-4d37-bfed-3d46c0834e82,29364aac-30db-4ce4-ae26-75d7046f88c3,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,SE Half of the Caliente Range. Approx 1 km S of Soda Lake Rd along Pipeline Rd,California,PRESENT,NA,d16f32bb-204f-4c07-95eb-6673e90225e9,34.989167,-119.499167,NA,NA,884,NA,NA,NA,2005-03-21T00:00:00Z,21,3,2005,3041998,3042005,PRESERVED_SPECIMEN,OBI,,OBI100621,12,"Caulanthus lasiophyllus, David J. Keil, 2011",NA,CC_BY_NC_4_0,,Greg Wilvert,NA,,2023-09-07T11:46:49Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
2270194073,f56df26e-73f5-4d37-bfed-3d46c0834e82,76fc9d56-1cbc-4d69-bbeb-29355d97c9d8,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,"Highway 58, just east to ca. 0.25 miles east of San Juan Creek bridge. South side of highway.",California,PRESENT,NA,d16f32bb-204f-4c07-95eb-6673e90225e9,35.3864,-120.1436,47,NA,475,25,NA,NA,2008-04-11T00:00:00Z,11,4,2008,3041998,3042005,PRESERVED_SPECIMEN,OBI,,OBI100659,30510,"Caulanthus lasiophyllus, David J. Keil, 2011",NA,CC_BY_NC_4_0,,"David J. Keil; Lisa Andreano, Mike Walgren, Aaron Sims",NA,,2023-09-07T11:46:50Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
2270193502,f56df26e-73f5-4d37-bfed-3d46c0834e82,4cfb4922-60a3-4c32-97c6-b6da8a53cd7b,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,Tierra Redonda Mtn BLM ACEC,California,PRESENT,NA,d16f32bb-204f-4c07-95eb-6673e90225e9,35.769131,-120.982825,NA,NA,599,NA,NA,NA,2010-04-10T00:00:00Z,10,4,2010,3041998,3042005,PRESERVED_SPECIMEN,OBI,,OBI181240,100,"Caulanthus lasiophyllus, David J. Keil, 2011",NA,CC_BY_NC_4_0,,Theo Fitanides; Anthony Baniaga,NA,,2023-09-07T11:46:50Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
2270192379,f56df26e-73f5-4d37-bfed-3d46c0834e82,f28071d3-2d89-418d-a14f-401f10efa203,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Streptanthus,Streptanthus lasiophyllus,NA,SPECIES,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Caulanthus lasiophyllus,(Hook. & Arn.) Payson,US,Along roadside on Coast Ridge rd .1 mi S of Burma Rd,California,PRESENT,NA,d16f32bb-204f-4c07-95eb-6673e90225e9,35.949644,-121.413476,163,NA,1000,NA,NA,NA,2010-05-30T00:00:00Z,30,5,2010,3041998,3042005,PRESERVED_SPECIMEN,OBI,,OBI100656,510.932,"Caulanthus lasiophyllus, David J. Keil, 2011",NA,CC_BY_NC_4_0,,D. R. Miller,NA,,2023-09-07T11:46:50Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
