id,latitude,longitude,dataset,datum,error_radius_m,accuracy_square_meters,plant,observer,date,source,county,location_description,location_quality,citation
gp15905,33.58017,-117.76262,online,WGS84,6,100,Amsinckia menziesii,Ron Vanderhoff,2019-05-16,NA,Orange,"Vic. Laguna Cyn. Rd. at El Toro Rd., Laguna Beach",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po133277,36.66747,-121.03202,mgr,WGS84,5,79,Amsinckia menziesii,Gary McDonald,2019-04-19,NA,San Benito,"1.62mi N of Antelope Fire Control Station, Willow Springs, San Benito Co., CA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
gp13816,33.599448,-117.348752,online,WGS84,6,100,Amsinckia menziesii var. menziesii,Ron Vanderhoff,2019-03-31,NA,Riverside,"Elsinore Peak area, Santa Ana Mts.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io9784,34.135006,-117.410382,mgr,WGS84,6,113,Amsinckia menziesii,keith wayne garcia,2019-03-28,NA,San Bernardino,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg80210,36.056771,-119.029989,mgr,WGS84,3,32,Amsinckia menziesii,Catherine Capone,2019-03-23,NA,Tulare,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg79854,36.06358,-118.910142,mgr,WGS84,11,361,Amsinckia menziesii,Catherine Capone,2019-03-17,NA,Tulare,west of view point at Lake Success in a drainage area,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg79848,36.031924,-118.863838,mgr,WGS84,6,129,Amsinckia menziesii,Catherine Capone,2019-03-17,NA,Tulare,low foothill valley,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io8954,33.715046,-117.439776,mgr,WGS84,6,113,Amsinckia menziesii,keith wayne garcia,2019-03-10,NA,Riverside,#fire,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
io8844,33.097305,-116.462683,mgr,WGS84,5,78,Amsinckia menziesii,Hailey Laskey,2019-03-07,NA,San Diego,"Scour through willows, cottonwoods and encroaching mesquite. Amsinckia, phacelia, descurania herb layer throughout.",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg78482,37.881232,-122.028147,mgr,WGS84,6,121,Amsinckia menziesii,Anthony O'Dea,2019-02-17,Upper Rudgear,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg78473,37.880286,-122.02584,mgr,WGS84,8,178,Amsinckia menziesii,Anthony O'Dea,2019-02-16,Upper Rudgear,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po90166,36.666926,-121.0351,mgr,WGS84,5,79,Amsinckia menziesii var. menziesii,Gary McDonald,2018-05-01,NA,San Benito,"1.7mi NNW Antelope Fire Control Station, Willow Springs, San Benito Co., CA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg59919,39.793289,-121.842047,mgr,WGS84,10,314,Amsinckia menziesii,David popp,2018-04-16,NA,Butte,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg58561,39.597438,-121.554667,mgr,WGS84,10,314,Amsinckia menziesii,David popp,2018-03-31,NA,Butte,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po85095,40.494041,-122.498031,mgr,WGS84,3,30,Amsinckia menziesii,David Ledger,2018-03-28,NA,Shasta,Horsetown Clear Creek Preserve near trail head by parking lot,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po35749,41.97768,-122.44643,mgr,WGS84,2,10,Amsinckia menziesii,David Ledger,2017-05-14,NA,Siskiyou,Horseshoe Ranch Trail 1/4 mile from parking lot.,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po66969,36.66674,-121.03541,mgr,WGS84,5,79,Amsinckia menziesii,Gary McDonald,2017-05-01,NA,San Benito,"1.6 mi. N of Antelope Fire Control Station, Willow Springs, San Benito Co., CA",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
cbo70678,37.514322,-121.88343,online,WGS84,1,3,Amsinckia menziesii,Marie Reil,2017-04-29,NA,Alameda,Mission Peak Regional Preserve - Peak Trail,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po32992,40.561042,-122.45945,mgr,WGS84,2,10,Amsinckia menziesii,David Ledger,2017-04-24,NA,Shasta,"Purple Elm trail, 1 mile from trailhead on both sides of trail",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
cbo68882,37.517464,-121.889074,online,WGS84,1,3,Amsinckia menziesii,Marie Reil,2017-04-20,NA,Alameda,Mission Peak Regional Preserve - Peak Trail,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
cbo68519,37.522756,-121.893132,online,WGS84,3,28,Amsinckia menziesii,Marie Reil,2017-04-14,NA,Alameda,Mission Peak Regional Preserve - Peak Trail,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
gp6381,35.305038,-119.246345,online,WGS84,5,79,Amsinckia menziesii,Alison Sheehey,2017-04-01,NA,Kern,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg38349,33.566289,-117.821081,mgr,WGS84,4,50,Amsinckia menziesii,Lana Nguyen,2017-03-27,NA,Orange,Fire break behind ranger station,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg38488,37.882256,-121.727949,mgr,WGS84,15,722,Amsinckia menziesii,Heath Bartosh,2017-03-25,NA,Contra Costa,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po14889,40.527723,-122.172775,mgr,WGS84,2,10,Amsinckia menziesii,David Ledger,2016-04-16,NA,Shasta,Bascom Road near Milville Plains Road,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg22495,39.422903,-121.609641,mgr,WGS84,11,380,Amsinckia menziesii,David popp,2016-04-03,NA,Butte,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg21915,39.595578,-121.541869,mgr,WGS84,8,201,Amsinckia menziesii var. menziesii,David popp,2016-03-29,NA,Butte,NA,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
mg23923,36.544688,-118.895425,mgr,WGS84,12,452,Amsinckia menziesii,Thomas Reyes,2016-03-26,NA,Tulare,North fork parking lot,high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po11617,34.169967,-119.038005,mgr,WGS84,3,28,Amsinckia menziesii,Steven M Norris,2016-03-19,NA,Ventura,"Near crest line of hill to west of University Glen, CSUCI campus, to west of metal water towers",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po11426,34.167673,-119.039113,mgr,WGS84,3,28,Amsinckia menziesii,Steven M Norris,2016-03-12,NA,Ventura,"Along crest line of hill to west of University Glen, to south of concrete water tank",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po11445,34.166659,-119.038862,mgr,WGS84,3,28,Amsinckia menziesii,Steven M Norris,2016-03-12,NA,Ventura,"Top of hill to north east of Sage Hall, CSUCI campus",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po11453,34.166188,-119.039711,mgr,WGS84,3,28,Amsinckia menziesii,Steven M Norris,2016-03-12,NA,Ventura,"Top of hill to north east of Sage Hall, CSUCI campus",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
po11406,34.161106,-119.039675,mgr,WGS84,5,79,Amsinckia menziesii,Steven M Norris,2016-03-10,NA,Ventura,"North facing slope of hillside to south of Malibu Hall, CSUCI campus",high,"Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
