"ID","Latitude","Longitude","Dataset","Datum","Error Radius (m)","Accuracy: Square Meters","Plant","Observer","Date","Source","County","Location Description","Location Quality","Citation"
"mg190041","36.080883","-120.334088","mgr","WGS84","8","214","Phacelia ciliata var. ciliata","Ryan O'Dell","2023-02-15","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg189587","36.053653","-120.379423","mgr","WGS84","8","205","Phacelia ciliata","Ryan O'Dell","2023-02-10","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"mg189586","36.053777","-120.379819","mgr","WGS84","4","47","Phacelia ciliata","Ryan O'Dell","2023-02-10","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io63237","35.120512","-118.409503","mgr","WGS84","12","452","Phacelia ciliata","Liz Block","2022-03-30","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po226466","33.641057","-117.843661","mgr","WGS84","4","50","Phacelia ciliata var. ciliata","Ron Vanderhoff","2022-03-12","","Orange","UCI Ecological Preserve, NE corner, approx 60m S of E Peltason","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po225994","35.620673","-119.644377","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po225995","35.621743","-119.644366","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po225996","35.622552","-119.644441","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po225997","35.621068","-119.645306","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po225998","35.622162","-119.645381","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po225999","35.6213","-119.643937","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po226000","35.622203","-119.643929","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po226001","35.622731","-119.642892","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po226002","35.622301","-119.641905","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po226003","35.623595","-119.645335","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po226004","35.625086","-119.645839","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po226005","35.627666","-119.646116","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po226006","35.630056","-119.645998","mgr","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-03-03","","Kern","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io61713","36.040198","-120.181962","mgr","WGS84","4","50","Phacelia ciliata","Mike Russler","2022-02-28","","Fresno","Hwy 33 south of S. Sutter Ave.","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io61712","36.039679","-120.181952","mgr","WGS84","4","50","Phacelia ciliata","Mike Russler","2022-02-28","","Fresno","Hwy 33 south of S. Sutter Ave.","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io61711","36.039947","-120.182095","mgr","WGS84","","","Phacelia ciliata","Mike Russler","2022-02-28","","Fresno","Hwy 33 south of S. Sutter Ave.","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io61727","36.039947","-120.182095","mgr","WGS84","4","50","Phacelia ciliata","Mike Russler","2022-02-28","","Fresno","Hwy 33 south of S. Sutter Ave.","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io60926","37.972963","-121.837088","mgr","WGS84","4","50","Phacelia ciliata","Catherine Chang","2022-02-20","East Bay Chapter CNPS Unusual Plants","Contra Costa","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io61848","36.459479","-120.711841","mgr","WGS84","4","50","Phacelia ciliata var. ciliata","Mike Russler","2022-02-18","","San Benito","New Idria Road Grisewold Hills","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"io61847","36.459472","-120.712382","mgr","WGS84","","","Phacelia ciliata var. ciliata","Mike Russler","2022-02-18","","San Benito","New Idria Road Grisewold Hills","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"wb2425-1234","36.06364","-120.39171","online","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-02-10","BLM","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"wb2425-1235","36.06356","-120.39165","online","WGS84","","","Phacelia ciliata","Ryan O'Dell","2022-02-10","BLM","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po222657","36.080702","-120.333785","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2022-01-25","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po222658","36.080856","-120.334087","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2022-01-25","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po222659","36.080961","-120.334042","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2022-01-25","","Fresno","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po186199","36.904572","-121.403006","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2021-04-07","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po186200","36.905011","-121.403085","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2021-04-07","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po186201","36.904873","-121.402737","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2021-04-07","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po186202","36.906171","-121.403072","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2021-04-07","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po186203","36.905688","-121.403123","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2021-04-07","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po186204","36.905701","-121.402553","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2021-04-07","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po186205","36.906244","-121.402694","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2021-04-07","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
"po186206","36.908751","-121.403296","mgr","WGS84","","","Phacelia ciliata var. ciliata","Ryan O'Dell","2021-04-07","","San Benito","","high","Calflora [web application]. 2023. Berkeley, California: The Calflora Database. Retrieved from https://www.calflora.org/ Sep 06, 2023."
