x,y,month,year,aet,cwd,pet,ppt,tmn,tmx,ppt_winter,tmx_summer
-115.6743086475541,36.23154744163078,10,1999,6.679999828338623,82.91999816894531,89.5999984741211,0.05000000074505806,1.840000033378601,18.139999389648438,67.75666809082031,23.726665496826172
-117.62661882521084,34.946142118049615,10,1999,0,112,112,0,8.199999809265137,29.549999237060547,11.673334121704102,36.11333465576172
-121.65225014194937,37.21845906036361,10,1999,12.25,74.1500015258789,86.4000015258789,3.2300000190734863,10.9399995803833,26.610000610351563,124.86333465576172,27.136667251586914
-115.15261694718852,34.38949169549459,10,1999,0,112.0999984741211,112.0999984741211,0,15.880000114440918,32.13999938964844,5.279999732971191,39.2066650390625
-120.57928628398098,39.47195207534482,10,1999,9.760000228881836,67.73999786376953,77.5,82.910003662109375,4.480000019073486,19.649999618530273,374.2433166503906,23.33333396911621
-115.3381670880402,35.884649352212435,10,1999,0,103,103,0,10.869999885559082,27.530000686645508,27.093332290649414,35.49333572387695
-118.99269812307534,35.174718378519074,10,1999,1.3899999856948853,108.01000213623047,109.4000015258789,0,12.069999694824219,29.530000686645508,26.163333892822266,34.81999969482422
-122.32722239345328,41.85990171413159,10,1999,0,62.29999923706055,62.29999923706055,37.2599983215332,4.050000190734863,21.65999984741211,90.83333587646484,28.690000534057617
-121.65493927442546,37.334091756836386,10,1999,4.349999904632568,81.8499984741211,86.19999694824219,6.329999923706055,14.930000305175781,24.780000686645508,136.14666748046875,26.933332443237305
-123.99986279359446,42.13688235917104,10,1999,20.649999618530273,38.650001525878906,59.29999923706055,142.5500030517578,7.199999809265137,20.649999618530273,488.6066589355469,25.393333435058594
-119.06799383240646,38.09242711509975,10,1999,0,0,85.80000305175781,1.8600000143051147,-0.5,22.290000915527344,25.246665954589844,27.96000099182129
-119.3880005970637,37.68636811120696,10,1999,3.319999933242798,74.779998779296875,78.0999984741211,20.100000381469727,0.5600000023841858,15.260000228881836,250.2833251953125,18.906665802001953
-121.7060327914716,41.44846444528657,10,1999,8.579999923706055,63.119998931884766,71.69999694824219,51.150001525878906,4.059999942779541,20.079999923706055,198.67666625976563,26.536666870117188
-116.16641989068243,36.05406469820744,10,1999,0,103.4000015258789,103.4000015258789,0,11.34000015258789,31.020000457763672,18.093332290649414,38.973331451416016
-116.28743085210743,34.80630722929183,10,1999,0,105.9000015258789,105.9000015258789,0,13.079999923706055,30.790000915527344,10.556666374206543,37.936668395996094
-121.72216758632824,42.61554793991884,10,1999,3.6600000858306885,60.63999938964844,64.30000305175781,32.720001220703125,-1.649999976158142,20.059999465942383,78.80333709716797,27.020000457763672
-114.96168854138462,35.01605956242851,10,1999,0,106.5,106.5,0,14.170000076293945,29.34000015258789,11.789999961853027,37.13333511352539
-117.36039471007584,35.80666451040521,10,1999,0,110.5999984741211,110.5999984741211,0,13.270000457763672,31.389999389648438,7.109999656677246,39.130001068115234
-122.14705051755382,38.85882987079145,10,1999,4.539999961853027,76.55999755859375,81.0999984741211,11.130000114440918,10.40999984741211,27.610000610351563,132.86000061035156,32.29666519165039
-116.107258976208,32.74643175259063,10,1999,0,109.30000305175781,109.30000305175781,0,12.890000343322754,33.0099983215332,8.800000190734863,38.323333740234375
-122.06099827831828,38.73781890936645,10,1999,5.340000152587891,81.160003662109375,86.5,7.099999904632568,9.90999984741211,28.06999969482422,114.57666015625,32.826663970947266
-116.21751340772856,35.779773185644096,10,1999,0,107.0999984741211,107.0999984741211,0,13.600000381469727,31.540000915527344,15.183333396911621,39.81666564941406
-116.11263724116024,35.54312952774631,10,1999,0,106,106,0,13.59000015258789,32.56999969482422,12.6899995803833,41.709999084472656
-120.59542107883765,37.03828718446415,10,1999,0.11999999731779099,94.08000183105469,94.19999694824219,0,9.640000343322754,27.989999771118164,64.79000091552734,32.970001220703125
-120.69760811292988,39.28371280201703,10,1999,2.5799999237060547,81.31999969482422,83.9000015258789,83.44999694824219,8.770000457763672,21.6299991607666,385.62664794921875,25.139999389648438
-115.97280235240244,36.19658871944134,10,1999,0,102.19999694824219,102.19999694824219,0,9.9399995803833,29.739999771118164,15.260000228881836,37.37666702270508
