x,y,month,year,aet,tmx,ppt_winter_sum,tmx_summer_mean,cec,drclass,om,ph,tdiff,presence
-119.636652,35.044934,4,2019,0,22.309999465942383,174.0800018310547,33.130001068115234,15.22081470489502,3,0.2800588011741638,8.025313377380371,14.58,1
-119.559792,35.040977,3,2020,0,14.789999961853027,80.33000183105469,35.13999938964844,10.801724433898926,3,0.15118750929832458,8.17259693145752,10.61,1
-118.782662,35.449715,4,2021,0,25.170000076293945,52.36000061035156,36.45333480834961,10.09000015258789,2,0.4900000095367432,6.5,14.95,1
-119.817662,35.345778,4,2021,4.429999828338623,21.690000534057617,107.64999389648438,33.82666778564453,17.176437377929688,3,1.9502588510513303,7.571637153625488,15.23,1
-119.646541,35.616735,2,2022,0,19.030000686645508,70.350006103515625,36.07666778564453,18.367090225219727,4,0.20857611298561096,8.285857200622559,16.91,1
-118.790275,35.444795,3,2022,3.4800000190734863,22.920000076293945,83.80000305175781,35.7933349609375,10.09000015258789,2,0.4900000095367432,6.5,13.87,1
-118.793919,35.440879,3,2022,0,22.8799991607666,84.25,35.74333190917969,12.451292991638184,2,0.5848955512046814,7.002467155456543,13.87,1
-119.364075,35.33303,3,2022,0,23.100000381469727,64.81999969482422,36.28666687011719,24.489999771118164,4,0.20999999344348907,8.199999809265137,16.15,1
-119.52244343740172,34.989170443052856,10,2000,0.6200000047683716,22.1200008392334,199.3300018310547,32.69333267211914,12.843689918518066,3,0.3212212920188904,8.01449966430664,16.59,0
-118.96848230535744,35.193544452933274,10,2000,0,25.63999938964844,111.97000122070313,35.3033332824707,20.09766387939453,5,0.7699785232543945,8.132299423217773,14.08,0
-120.22430681343845,37.6809912837147,10,2000,0,23.350000381469727,190.52999877929688,33.563331604003906,19.971206665039063,3,1.3768656253814695,6.094359397888184,13.47,0
-119.77253268633434,36.36331674632778,10,2000,0,25.030000686645508,99.79000091552734,34.96666717529297,7.928833484649658,3,0.7285875678062439,8.130675315856934,14.78,0
-119.8370718473492,35.172031399261655,10,2000,0,23.5,170.19000244140625,33.90666580200195,12.641170501708984,3,0.25913503766059875,8.012452125549316,14.74,0
-120.20548289147575,37.100138834580875,10,2000,18.540000915527344,23.760000228881836,131.6699981689453,33.869998931884766,11.092183113098145,4,0.3090934753417969,7.233547687530518,14.41,0
-119.734884842409,35.49741633604495,10,2000,0,25.010000228881836,101.88999938964844,35.459999084472656,12.554259300231934,3,0.16511893272399902,8.101262092590332,14.28,0
